ambience;99
song;4;true
player;174;662;45f;18f;0
portal;135f;580f;30f;111f;1;0;exit
door;1405f;645f;30f;39f;1;lockerRoomDoor;3;1
npc;210f;440f;120f;100f;Russel;70;80;false
npc;400f;400f;120f;100f;Emma;80;80;false
npc;360f;685f;90f;100f;Nathan;80;80;true
npc;540f;690f;90f;100f;Frida;100;70;true
npc;750f;420f;90f;100f;Mechanic;60;80;false
npc;920f;500f;120f;100f;Skye;70;80;false
npc;1120f;420f;120f;100f;Zack;85;80;false
npc;1280f;570f;60f;60f;Gard;85;120;false
npc;1230f;720f;120f;60f;Feno;85;120;true

